timestamp,value_a,value_b,value_c,oper
12/9/2021 20:12,44,55,666,addition
12/9/2021 20:13,22,33,444,subtraction
12/9/2021 20:21,333,4,0,division
12/9/2021 20:23,444,666,333,exponent
12/9/2021 20:49,33,44,11,multiplication
12/9/2021 16:01,2000,22,1,subtraction
12/9/2021 11:13,6,0,1,division
12/9/2021 6:25,444,55,11,multiplication
12/9/2021 1:37,33,44,55,multiplication
12/9/2021 1:08,99,88,1,division
12/9/2021 0:39,51,70,80,division
12/9/2021 0:10,3,52,83,subtraction
12/8/2021 23:41,19,2,84,division
12/8/2021 23:13,22,15,84,multiplication
12/8/2021 22:44,87,46,85,addition
12/8/2021 22:15,78,67,85,multiplication
12/8/2021 21:46,76,49,86,division
12/8/2021 21:17,36,48,88,division
12/8/2021 20:49,41,73,88,multiplication
12/8/2021 20:20,27,48,88,subtraction
12/8/2021 19:51,54,22,89,division
12/8/2021 19:22,30,41,89,subtraction
12/8/2021 18:53,99,95,90,division
12/8/2021 18:25,82,76,91,addition
12/8/2021 17:56,64,1,91,addition
12/8/2021 17:27,73,2,92,division
12/8/2021 16:58,71,92,97,division
12/8/2021 16:29,2,2,3,addition
12/8/2021 16:01,0,4,4,subtraction
12/8/2021 15:32,1000,2,33,multiplication
12/9/2021 20:56,44,33,22,exponent
12/9/2021 20:56,3,2,2,exponent
12/9/2021 22:04,55,66,112,addition
12/10/2021 2:38,44,55,6,multiplication
12/10/2021 2:38,4,0, ,division
12/10/2021 2:38,55,2, ,exponent
12/10/2021 2:45,444,55,2,multiplication
12/10/2021 2:45,3,0, ,division
12/10/2021 2:46,4,3, ,exponent
12/10/2021 2:51,55,77,3,multiplication
12/10/2021 2:53,55,77,2,multiplication
12/10/2021 2:53,5,0, ,division
12/10/2021 2:53,2,3, ,exponent
12/10/2021 3:01,6,7,4,multiplication
12/10/2021 3:01,5,0, ,division
12/10/2021 23:46,44,1,18,average
12/10/2021 23:46,34.9,22.9,1.99,average
12/11/2021 1:42,55,33, ,average
2021-12-11 02:54:42, 55.0,2.0,44.0,multiplication
2021-12-11 03:04:40, 55555.0,111.0,2.0,subtraction
2021-12-11 03:13:09, 333.0,2.0,2.0,exponent
2021-12-11 03:19:36, 44.0,22.0,13.0,multiplication
2021-12-11 03:27:05, 33.0,111111.0,44.0,subtraction
2021-12-11 03:31:25, 56.0,2.0,2.0,exponent
2021-12-11 03:32:13, 56.0,0.0,,division
2021-12-11 03:32:42, 44.0,2.0,0.0,division
2021-12-11 03:42:41, 12.0,2.0,,exponent
2021-12-11 03:44:58, 13.0,23.0,56.0,addition
2021-12-11 04:04:06, 13.0,2.0,,division
2021-12-11 04:08:56, 13.0,12.0,11.0,multiplication
2021-12-11 04:09:49, 22.0,22.0,,addition
2021-12-11 04:10:11, 33.0,33.0,33.0,addition
2021-12-11 04:10:28, 12.0,0.0,,division
2021-12-11 04:10:41, 222222.0,222222.0,,exponent
2021-12-11 04:11:38, 414.0,9.0,9999.0,exponent
2021-12-11 04:11:57, 3.0,2.0,99999999.0,exponent
2021-12-11 05:10:57, 2.0,3.0,4.0,subtraction
2021-12-11 05:11:13, 3.0,0.0,,division
2021-12-11 05:11:39, 4.0,2.0,2.0,division
2021-12-11 05:11:52, 4.0,2.0,0.0,division
2021-12-11 05:12:26, 444.0,333.0,555.0,exponent
2021-12-11 05:12:46, 44.0,2.0,55.0,average
2021-12-11 05:13:04, 361.0,555.0,22.0,multiplication
2021-12-11 05:16:06, 66.0,2.0,,exponent
2021-12-11 05:18:01, 4.0,222.0,4444.0,subtraction
2021-12-11 05:25:16, 16.0,34.0,55.0,average
2021-12-11 05:26:46, 44.0,3.0,11.0,average
